year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1997,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.3,43.4,3.9
1997,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",22.9,22.1,0.7
1997,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,49.7,44,5.7
1997,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.1,22.1,-
1997,full-time,manufacturing,paper products and publishing,paper products and publishing,49.6,43,6.6
1997,part-time,manufacturing,paper products and publishing,paper products and publishing,23,22.7,0.3
1997,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.7,43,5.7
1997,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,27.2,25.2,2
1997,full-time,manufacturing,rubber and plastic products,rubber and plastic products,51,43.8,7.2
1997,part-time,manufacturing,rubber and plastic products,rubber and plastic products,24.7,23.3,1.4
1997,full-time,manufacturing,fabricated metal products,fabricated metal products,51.1,43.5,7.6
1997,part-time,manufacturing,fabricated metal products,fabricated metal products,22,21.3,0.7
1997,full-time,manufacturing,machinery and equipment,machinery and equipment,51.1,43.5,7.6
1997,part-time,manufacturing,machinery and equipment,machinery and equipment,21.6,20.7,1
1997,full-time,manufacturing,electrical products,electrical products,50.3,43.3,7
1997,part-time,manufacturing,electrical products,electrical products,27.5,25,2.5
1997,full-time,manufacturing,electronic products,electronic products,47.8,42.2,5.6
1997,part-time,manufacturing,electronic products,electronic products,22.8,20.9,1.8
1997,full-time,manufacturing,medical and precision instruments,medical and precision instruments,47.4,42.8,4.6
1997,part-time,manufacturing,medical and precision instruments,medical and precision instruments,22.4,22.2,0.2
1997,full-time,manufacturing,transport equipment,transport equipment,54.1,44,10.1
1997,part-time,manufacturing,transport equipment,transport equipment,17.7,17.5,0.2
1997,full-time,manufacturing,other manufacturing industries,other manufacturing industries,51.6,44,7.6
1997,part-time,manufacturing,other manufacturing industries,other manufacturing industries,22.4,22.1,0.3
1997,full-time,construction,construction,construction,52.1,45,7.1
1997,part-time,construction,construction,construction,22.1,21.6,0.5
1997,full-time,services,wholesale and retail trade,wholesale trade,44.1,42.2,1.9
1997,part-time,services,wholesale and retail trade,wholesale trade,26,25.5,0.5
1997,full-time,services,wholesale and retail trade,retail trade,45.9,43.2,2.6
1997,part-time,services,wholesale and retail trade,retail trade,24.6,24.1,0.5
1997,full-time,services,hotels and restaurants,hotels,46.4,44,2.3
1997,part-time,services,hotels and restaurants,hotels,27.7,27.2,0.4
1997,full-time,services,hotels and restaurants,restaurants,45.3,44.3,1
1997,part-time,services,hotels and restaurants,restaurants,23.8,23.4,0.4
1997,full-time,services,"transport, storage and communications","transport, storage and communications",47.2,43.4,3.9
1997,part-time,services,"transport, storage and communications","transport, storage and communications",24.9,24.2,0.7
1997,full-time,services,financial intermediation,financial institutions,43.5,42.4,1.1
1997,part-time,services,financial intermediation,financial institutions,22.4,21.9,0.5
1997,full-time,services,financial intermediation,insurance and pension funding,40.6,39.8,0.8
1997,part-time,services,financial intermediation,insurance and pension funding,20.8,20.7,0.1
1997,full-time,services,business and real estate services,business and real estate services,45.1,42.5,2.7
